model,n_features,features,param,smote,feature_selection_method,fs_estimator,f2_mean,f2_std,precision_mean,recall_mean,training_time
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=3,0.1,correlation,N/A,0.5714573671694196,0.12922364308595738,0.48649624060150376,0.5999999999999999,13.736042022705078
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=5,0.1,correlation,N/A,0.44683995814337074,0.15512316995472042,0.473015873015873,0.4421052631578948,0.17180323600769043
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=7,0.1,correlation,N/A,0.3378783612477775,0.10525326342907322,0.4993040293040293,0.3157894736842105,0.19540858268737793
KNN,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,k=9,0.1,correlation,N/A,0.16795752614545023,0.05521691816148414,0.4241558441558442,0.14736842105263157,0.31274938583374023
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=3,0.1,correlation,N/A,0.05178155178155177,0.02589278345160673,0.7,0.042105263157894736,0.6164817810058594
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=5,0.1,correlation,N/A,0.07351328390485017,0.08838320405125781,0.2642857142857143,0.06315789473684211,0.10304427146911621
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=7,0.1,correlation,N/A,0.19177683726747824,0.09450520793655184,0.5066666666666667,0.16842105263157894,0.1836991310119629
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=9,0.1,correlation,N/A,0.22698731814660028,0.09857060967044673,0.36080586080586086,0.21052631578947373,0.16121912002563477
DecisionTree,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,max_depth=None,0.1,correlation,N/A,0.3177545143931698,0.12684330250610854,0.30666000666000665,0.3263157894736842,0.10115694999694824
RandomForest,31,is_weekend;moyen_paiement_MasterCard;période_jour_Après-midi;jour_semaine;lieu_Rabat;type_transaction_virement;categorie_commerce_santé;devise_USD;lieu_Fès;moyen_paiement_Visa;type_transaction_retrait;categorie_commerce_mode;canal_en ligne;moyen_paiement_Cash;période_jour_Soir;device_utilise_Web;montant;mois;heure_num;période_jour_Matin;score_risque_client;lieu_Marrakech;categorie_commerce_électronique;categorie_commerce_voyage;lieu_Tanger;jour;device_utilise_Android;device_utilise_iOS;canal_guichet;devise_MAD;canal_carte,n_estimators=50,0.1,correlation,N/A,0.13956507627393705,0.07375668999229205,0.8,0.11578947368421053,1.1572108268737793
